ᆜ	j ɯ	jㅡ
실리다	ɕʰ i ʎ ʎ i d a̠	실리다
실리콘	ɕ͈ i ʎ ʎ i kʰ o̞ n	씰리콘
실솔	ɕʰ i ɭ s͈ o̞ ɭ	실쏠
실수하다	ɕʰ i ɭ s͈ u ɦ a̠ d a̠	실쑤하다
실시되다	ɕʰ i ɭ ɕʰ i d w e̞ d a̠	실시되다
실시하다	ɕʰ i ɭ ɕʰ i ɦ a̠ d a̠	실시하다
실연	ɕʰ i ɾ j ʌ̹ n	시련
실적	ɕʰ i ʎ t͡ɕ͈ ʌ̹ k̚	실쩍
실종되다	ɕʰ i ʎ d͡ʑ o̞ ŋ d w e̞ d a̠	실종되다
실천하다	ɕʰ i ʎ t͡ɕʰ ʌ̹ n ɦ a̠ d a̠	실천하다
실파	ɕʰ iː ɭ pʰ a̠	실파
실험실	ɕʰ i ɾ ɦ ʌ̹ m ɕʰ i ɭ	실험실
실험하다	ɕʰ i ɾ ɦ ʌ̹ m ɦ a̠ d a̠	실험하다
실현하다	ɕʰ i ɾ ʝ ʌ̹ n ɦ a̠ d a̠	실헌하다
심	ɕʰ i m	심
심려	ɕʰ i m ɲ ʌ̹	심너
심리학자	ɕʰ i m n i ɦ a̠ k̚ t͡ɕ͈ a̠	심니학짜
심문	ɕʰ i m m u n	심문
심문하다	ɕʰ i m m u n ɦ a̠ d a̠	심문하다
심박수	ɕʰ i m b a̠ k s͈ u	심박쑤
심방	ɕʰ i m b a̠ ŋ	심방
심벌즈	ɕ͈ i m b ʌ̹ ʎ d͡ʑ ɯ	씸벌즈
심부름하다	ɕʰ i m b u ɾ ɯ m ɦ a̠ d a̠	심부름하다
심산유곡	ɕʰ iː m sʰ a̠ n ɲ u ɡ o̞ k̚	심산누곡
심야	ɕʰ iː m j a̠	시먀
심인성	ɕʰ i m i n s͈ ʌ̹ ŋ	시민썽
심페로폴	ɕʰ i m pʰ e̞ ɾ o̞ pʰ o̞ ɭ	심페로폴
심호흡	ɕʰ iː m β o̞ ɣ ɯ p̚	심호흡
심혼	ɕʰ i m β o̞ n	심혼
심화	ɕʰ i m β w a̠	심화
십	ɕʰ i p̚	십
십구	ɕʰ i p̚ k͈ u	십꾸
십날	ɕʰ i m n a̠ ɭ	심날
십사	ɕʰ i p s͈ a̠	십싸
십육	ɕʰ i m ɲ u k̚	심눅
십일	ɕʰ i b i ɭ	시빌
십자고상	ɕʰ i p̚ t͡ɕ͈ a̠ ɡ o̞ sʰ a̠ ŋ	십짜고상
십진법	ɕʰ i p̚ t͡ɕ͈ i n p͈ ʌ̹ p̚	십찐뻡
십팔	ɕʰ i p̚ pʰ a̠ ɭ	십팔
싯	ɕʰ i t̚	싣
싱겁다	ɕʰ i ŋ ɡ ʌ̹ p̚ t͈ a̠	싱겁따
싱글	ɕʰ i ŋ ɡ ɯ ɭ	싱글
싱싱하다	ɕʰ i ŋ ɕʰ i ŋ ɦ a̠ d a̠	싱싱하다
싱어	ɕʰ i ŋ ʌ̹	싱어
싱어송라이터	ɕ͈ i ŋ ʌ̹ s͈ o̞ ŋ n a̠ i tʰ ʌ̹	씽어쏭나이터
싸	s͈ a̠	싸
싸게	s͈ a̠ ɡ e̞	싸게
싸불	s͈ a̠ b u ɭ	싸불
싸스	s͈ a̠ sʰ ɯ	싸스
싸울아비	s͈ a̠ u ɾ a̠ b i	싸우라비
싸움터	s͈ a̠ u m tʰ ʌ̹	싸움터
싸이다	s͈ a̠ i d a̠	싸이다
싸인펜	s͈ a̠ i n pʰ e̞ n	싸인펜
싹	s͈ a̠ k̚	싹
싼룬처	s͈ a̠ ɭ ɭ u ɲ t͡ɕʰ ʌ̹	쌀룬처
쌀	s͈ a̠ ɭ	쌀
쌈	s͈ a̠ m	쌈
쌍	s͈ a̠ ŋ	쌍
쌍곡선	s͈ a̠ ŋ ɡ o̞ k s͈ ʌ̹ n	쌍곡썬
쌍기역	s͈ a̠ ŋ ɡ i j ʌ̹ k̚	쌍기역
쌍동이	s͈ a̠ ŋ d o̞ ŋ i	쌍동이
쌍반점	s͈ a̠ ŋ b a̠ ɲ d͡ʑ ʌ̹ m	쌍반점
쌍발	s͈ a̠ ŋ b a̠ ɭ	쌍발
쌍봉낙타	s͈ a̠ ŋ b o̞ ŋ n a̠ k̚ tʰ a̠	쌍봉낙타
쌍비읍	s͈ a̠ ŋ b i ɯ p̚	쌍비읍
쌍살벌	s͈ a̠ ŋ sʰ a̠ ɭ b ʌ̹ ɭ	쌍살벌
쌍절곤	s͈ a̠ ŋ d͡ʑ ʌ̹ ɭ ɡ o̞ n	쌍절곤
쌍점	s͈ a̠ ŋ d͡ʑ ʌ̹ m	쌍점
쌍정	s͈ a̠ ŋ d͡ʑ ʌ̹ ŋ	쌍정
쌍지읒	s͈ a̠ ŋ d͡ʑ i ɯ t̚	쌍지읃
쌓이다	s͈ a̠ i d a̠	싸이다
쌤	s͈ ɛː m	쌤
쌤통	s͈ ɛː m tʰ o̞ ŋ	쌤통
써레	s͈ ʌ̹ ɾ e̞	써레
썩	s͈ ʌ̹ k̚	썩
썩다	s͈ ʌ̹ k̚ t͈ a̠	썩따
썩음썩음하다	s͈ ʌ̹ ɡ ɯ m s͈ ʌ̹ ɡ ɯ m ɦ a̠ d a̠	써금써금하다
썬글라스	s͈ ʌ̹ n ɡ ɯ ɭ ɭ a̠ sʰ ɯ	썬글라스
썰	s͈ ʌ̹ ɭ	썰
썰썰	s͈ ʌ̹ ɭ s͈ ʌ̹ ɭ	썰썰
썸	s͈ ʌ̹ m	썸
썸팅	s͈ ʌ̹ m tʰ i ŋ	썸팅
쎄다	s͈ e̞ː d a̠	쎄다
쏘련	s͈ o̞ ɾ j ʌ̹ n	쏘련
쏘비에트	s͈ o̞ b i e̞ tʰ ɯ	쏘비에트
쏘아보다	s͈ o̞ a̠ b o̞ d a̠	쏘아보다
쏙	s͈ o̞ k̚	쏙
쏟다	s͈ o̞ t̚ t͈ a̠	쏟따
쏠다	s͈ o̞ː ɭ d a̠	쏠다
쏠리다	s͈ o̞ ʎ ʎ i d a̠	쏠리다
쏼라쏼라	s͈ w a̠ ɭ ɭ a̠ s͈ w a̠ ɭ ɭ a̠	쏼라쏼라
쑥	s͈ u k̚	쑥
쒀이러우	s͈ w ʌ̹ i ɾ ʌ̹ u	쒀이러우
쓰나미	s͈ ɯ n a̠ m i	쓰나미
쓰똘	s͈ ɯ t͈ o̞ ɭ	쓰똘
쓰레받기	s͈ ɯ ɾ e̞ b a̠ t̚ k͈ i	쓰레받끼
쓰르라미	s͈ ɯ ɾ ɯ ɾ a̠ m i	쓰르라미
쓰봉	s͈ ɯ b o̞ ŋ	쓰봉
쓸다	s͈ ɯ ɭ d a̠	쓸다
쓸데없다	s͈ ɯ ɭ t͈ e̞ ʌ̹ p̚ t͈ a̠	쓸떼업따
쓸어일어나다	s͈ ɯ ɾ ʌ̹ i ɾ ʌ̹ n a̠ d a̠	쓰러이러나다
씨	ɕ͈ i	씨
씨뚜아찌야	ɕ͈ i t͈ u a̠ t͡ɕ͈ i j a̠	씨뚜아찌야
씨발	ɕ͈ i b a̠ ɭ	씨발
씨수	ɕ͈ i sʰ u	씨수
씨엄히	ɕ͈ iː ʌ̹ m ʝ i	씨엄히
씨족	ɕ͈ i d͡ʑ o̞ k̚	씨족
씨팔	ɕ͈ i pʰ a̠ ɭ	씨팔
씩	ɕ͈ i k̚	씩
씹	ɕ͈ i p̚	씹
씹두덩	ɕ͈ i p̚ t͈ u d ʌ̹ ŋ	씹뚜덩
씹하다	ɕ͈ i pʰ a̠ d a̠	씨파다
씻은듯이	ɕ͈ i sʰ ɯ n d ɯ ɕʰ i	씨슨드시
씽글	ɕ͈ i ŋ ɡ ɯ ɭ	씽글
씽글씽글	ɕ͈ i ŋ ɡ ɯ ɭ ɕ͈ i ŋ ɡ ɯ ɭ	씽글씽글
아	a̠	아
아가	a̠ ɡ a̠	아가
아교	a̠ ɡ j o	아교
아국	a̠ː ɡ u k̚	아국
아귀	a̠ ɡ ɥ i	아귀
아기미	a̠ ɡ i m i	아기미
아기집	a̠ ɡ i d͡ʑ i p̚	아기집
아끼다	a̠ k͈ i d a̠	아끼다
아나테마	a̠ n a̠ tʰ e̞ m a̠	아나테마
아뇰로티	a̠ ɲ o ɭ ɭ o̞ tʰ i	아뇰로티
아니꼽다	a̠ n i k͈ o̞ p̚ t͈ a̠	아니꼽따
아니라	a̠ n i ɾ a̠	아니라
아다	a̠ d a̠	아다
아도	a̠ d o̞	아도
아라비아인	a̠ ɾ a̠ b i a̠ i n	아라비아인
아라사	a̠ ɾ a̠ sʰ a̠	아라사
아락	a̠ ɾ a̠ k̚	아락
아람어	a̠ ɾ a̠ m ʌ̹	아라머
아레스	a̠ ɾ e̞ sʰ ɯ	아레스
아령	a̠ː ɾ j ʌ̹ ŋ	아령
아뢰다	a̠ ɾ w e̞ d a̠	아뢰다
아뢰야식	a̠ ɾ w e̞ j a̠ ɕʰ i k̚	아뢰야식
아르곤	a̠ ɾ ɯ ɡ o̞ n	아르곤
아르마딜로	a̠ ɾ ɯ m a̠ d i ɭ ɭ o̞	아르마딜로
아리땁다	a̠ ɾ i t͈ a̠ p̚ t͈ a̠	아리땁따
아리조나	a̠ ɾ i d͡ʑ o̞ n a̠	아리조나
아말감	a̠ m a̠ ɭ ɡ a̠ m	아말감
아메리슘	a̠ m e̞ ɾ i ɕʰ u m	아메리숨
아메리카너구리	a̠ m e̞ ɾ i kʰ a̠ n ʌ̹ ɡ u ɾ i	아메리카너구리
아메리카원앙	a̠ m e̞ ɾ i kʰ a̠ w ʌ̹ n a̠ ŋ	아메리카워낭
아메리카홍머리오리	a̠ m e̞ ɾ i kʰ a̠ β o̞ ŋ m ʌ̹ ɾ i o̞ ɾ i	아메리카홍머리오리
아무것	a̠ː m u ɡ ʌ̹ t̚	아무걷
아무렇다	a̠ː m u ɾ ʌ̹ tʰ a̠	아무러타
아물다	a̠ m u ɭ d a̠	아물다
아물리다	a̠ m u ʎ ʎ i d a̠	아물리다
아미노	a̠ m i n o̞	아미노
아미딘	a̠ m i d i n	아미딘
아바이	a̠ b a̠ i	아바이
아바지	a̠ b a̠ d͡ʑ i	아바지
아방궁	a̠ b a̠ ŋ ɡ u ŋ	아방궁
아베크	a̠ b e̞ k x ɯ	아베크
아부지	a̠ b u d͡ʑ i	아부지
아비달마	a̠ b i d a̠ ɭ m a̠	아비달마
아비장	a̠ b i d͡ʑ a̠ ŋ	아비장
아산	a̠ sʰ a̠ n	아산
아세나프텐	a̠ sʰ e̞ n a̠ pʰ ɯ tʰ e̞ n	아세나프텐
아스마라	a̠ sʰ ɯ m a̠ ɾ a̠	아스마라
아스콜빅산	a̠ sʰ ɯ kʰ o̞ ɭ b i k s͈ a̠ n	아스콜빅싼
아스테카	a̠ sʰ ɯ tʰ e̞ kʰ a̠	아스테카
아스팔트	a̠ sʰ ɯ pʰ a̠ ɭ tʰ ɯ	아스팔트
아스하바트	a̠ sʰ ɯ ɦ a̠ b a̠ tʰ ɯ	아스하바트
아실기	a̠ ɕʰ i ɭ ɡ i	아실기
아씨	a̠ː ɕ͈ i	아씨
아우르다	a̠ u ɾ ɯ d a̠	아우르다
아유르베다	a̠ j u ɾ ɯ b e̞ d a̠	아유르베다
아으	a̠ ɯ	아으
아이누어	a̠ i n u ʌ̹	아이누어
아이다호	a̠ i d a̠ β o̞	아이다호
아이띠	a̠ i t͈ i	아이띠
아이스케이크	a̠ i sʰ ɯ kʰ e̞ i k x ɯ	아이스케이크
아이슬란드어	a̠ i sʰ ɯ ɭ ɭ a̠ n d ɯ ʌ̹	아이슬란드어
아이오딘	a̠ i o̞ d i n	아이오딘
아이오와	a̠ i o̞ w a̠	아이오와
아인슈타이늄	a̠ i n ɕʰ u tʰ a̠ i ɲ u m	아인수타이눔
아전인수	a̠ː d͡ʑ ʌ̹ n i n sʰ u	아저닌수
아제르바이잔어	a̠ d͡ʑ e̞ ɾ ɯ b a̠ i d͡ʑ a̠ n ʌ̹	아제르바이자너
아즈텍	a̠ d͡ʑ ɯ tʰ e̞ k̚	아즈텍
아집	a̠ː d͡ʑ i p̚	아집
아첨	a̠ t͡ɕʰ ʌ̹ m	아첨
아첨꾼	a̠ t͡ɕʰ ʌ̹ m k͈ u n	아첨꾼
아칙	a̠ t͡ɕʰ i k̚	아칙
아침놀	a̠ t͡ɕʰ i m n o̞ ɭ	아침놀
아카이브	a̠ kʰ a̠ i b ɯ	아카이브
아칸소	a̠ kʰ a̠ n sʰ o̞	아칸소
아콰리움	a̠ kʰ w a̠ ɾ i u m	아콰리움
아테나	a̠ tʰ e̞ n a̠	아테나
아테지	a̠ tʰ e̞ d͡ʑ i	아테지
아틀란티스	a̠ tʰ ɯ ɭ ɭ a̠ n tʰ i sʰ ɯ	아틀란티스
아포스트로피	a̠ pʰ o̞ sʰ ɯ tʰ ɯ ɾ o̞ pʰ i	아포스트로피
아프리칸스어	a̠ pʰ ɯ ɾ i kʰ a̠ n sʰ ɯ ʌ̹	아프리칸스어
아피아	a̠ pʰ i a̠	아피아
악	a̠ k̚	악
악경	a̠ k̚ k͈ j ʌ̹ ŋ	악꼉
악귀	a̠ k̚ k͈ ɥ i	악뀌
악랄	a̠ ŋ n a̠ ɭ	앙날
악랄하다	a̠ ŋ n a̠ ɾ ɦ a̠ d a̠	앙날하다
악력계	a̠ ŋ ɲ ʌ̹ k̚ k͈ j e̞	앙넉꼐
악령	a̠ ŋ ɲ ʌ̹ ŋ	앙넝
악보	a̠ k̚ p͈ o̞	악뽀
악성비루스	a̠ k s͈ ʌ̹ ŋ b i ɾ u sʰ ɯ	악썽비루스
악센트	a̠ k s͈ e̞ n tʰ ɯ	악쎈트
악수하다	a̠ k s͈ u ɦ a̠ d a̠	악쑤하다
악역	a̠ ɡ j ʌ̹ k̚	아격
악티늄	a̠ k̚ tʰ i ɲ u m	악티눔
악하다	a̠ kʰ a̠ d a̠	아카다
악화	a̠ kʰ w a̠	아콰
악화되다	a̠ kʰ w a̠ d w e̞ d a̠	아콰되다
악화하다	a̠ kʰ w a̠ ɦ a̠ d a̠	아콰하다
안	a̠ n	안
안가	a̠ n ɡ a̠	안가
안기다	a̠ː n ɡ i d a̠	안기다
안남	a̠ n n a̠ m	안남
안녕하다	a̠ n ɲ ʌ̹ ŋ ɦ a̠ d a̠	안넝하다
안도라라베야	a̠ n d o̞ ɾ a̠ ɾ a̠ b e̞ j a̠	안도라라베야
안뜰	a̠ n t͈ ɯ ɭ	안뜰
안락	a̠ ɭ ɭ a̠ k̚	알락
안마당	a̠ n m a̠ d a̠ ŋ	안마당
안면	a̠ n m j ʌ̹ n	안면
안목	a̠ n m o̞ k̚	안목
안사람	a̠ n s͈ a̠ ɾ a̠ m	안싸람
안식일	a̠ n ɕʰ i ɡ i ɭ	안시길
안와	a̠ː n w a̠	아놔
안장	a̠ː ɲ d͡ʑ a̠ ŋ	안장
안전가옥	a̠ ɲ d͡ʑ ʌ̹ n ɡ a̠ o̞ k̚	안전가옥
안절부절하다	a̠ ɲ d͡ʑ ʌ̹ ɭ b u d͡ʑ ʌ̹ ɾ ɦ a̠ d a̠	안절부절하다
안직	a̠ ɲ d͡ʑ i k̚	안직
안초비	a̠ ɲ t͡ɕʰ o̞ b i	안초비
안트라센	a̠ n tʰ ɯ ɾ a̠ sʰ e̞ n	안트라센
안티모니	a̠ n tʰ i m o̞ n i	안티모니
앉다	a̠ n t͈ a̠	안따
앉은자리	a̠ ɲ d͡ʑ ɯ ɲ d͡ʑ a̠ ɾ i	안즌자리
알데하이드	a̠ ɭ d e̞ ɦ a̠ i d ɯ	알데하이드
알라바마	a̠ ɭ ɭ a̠ b a̠ m a̠	알라바마
알라신	a̠ ɭ ɭ a̠ ɕʰ i n	알라신
알락도요	a̠ ɭ ɭ a̠ k̚ t͈ o̞ j o	알락또요
알락오리	a̠ ɭ ɭ a̠ ɡ o̞ ɾ i	알라고리
알람	a̠ ɭ ɭ a̠ m	알람
알레고리	a̠ ɭ ɭ e̞ ɡ o̞ ɾ i	알레고리
알레르기성	a̠ ɭ ɭ e̞ ɾ ɯ ɡ i s͈ ʌ̹ ŋ	알레르기썽
알렉산더	a̠ ɭ ɭ e̞ k s͈ a̠ n d ʌ̹	알렉싼더
알리바바	a̠ ʎ ʎ i b a̠ b a̠	알리바바
알릴기	a̠ ʎ ʎ i ɭ ɡ i	알릴기
알못	a̠ː ɭ m o̞ t̚	알몯
알버타	a̠ ɭ b ʌ̹ tʰ a̠	알버타
알아차리다	a̠ ɾ a̠ t͡ɕʰ a̠ ɾ i d a̠	아라차리다
알카인	a̠ ɭ kʰ a̠ i n	알카인
앎	a̠ː m	암
앓아눕다	a̠ ɾ a̠ n u p̚ t͈ a̠	아라눕따
암	a̠ m	암
암기하다	a̠ː m ɡ i ɦ a̠ d a̠	암기하다
암묵	a̠ m m u k̚	암묵
암살자	a̠ː m sʰ a̠ ʎ t͡ɕ͈ a̠	암살짜
암순응	a̠ː m sʰ u n ɯ ŋ	암수능
암시하다	a̠ː m ɕʰ i ɦ a̠ d a̠	암시하다
암유	a̠ː m j u	아뮤
암페어	a̠ m pʰ e̞ ʌ̹	암페어
암표	a̠ː m pʰ j o	암표
암표상	a̠ː m pʰ j o sʰ a̠ ŋ	암표상
압	a̠ p̚	압
압권	a̠ p̚ k͈ w ʌ̹ n	압꿘
압록자그사니	a̠ m n o̞ k̚ t͡ɕ͈ a̠ ɡ ɯ sʰ a̠ n i	암녹짜그사니
압수	a̠ p s͈ u	압쑤
압운	a̠ b u n	아분
압제	a̠ p̚ t͡ɕ͈ e̞	압쩨
앗	a̠ t̚	앋
앗다	a̠ t̚ t͈ a̠	앋따
앙	a̠ ŋ	앙
앙까	a̠ ŋ k͈ a̠	앙까
앙등	a̠ː ŋ d ɯ ŋ	앙등
앞	a̠ p̚	압
앞당기다	a̠ p̚ t͈ a̠ ŋ ɡ i d a̠	압땅기다
앞두다	a̠ p̚ t͈ u d a̠	압뚜다
앞머리	a̠ m m ʌ̹ ɾ i	암머리
앞문	a̠ m m u n	암문
앞장서다	a̠ p̚ t͡ɕ͈ a̠ ŋ sʰ ʌ̹ d a̠	압짱서다
앞치마	a̠ p̚ t͡ɕʰ i m a̠	압치마
애	ɛː	애
애견	ɛː ɡ j ʌ̹ n	애견
애국	ɛː ɡ u k̚	애국
애국가	ɛː ɡ u k̚ k͈ a̠	애국까
애기망둑	ɛː ɡ i m a̠ ŋ d u k̚	애기망둑
애동제자	ɛː d o̞ ŋ d͡ʑ e̞ d͡ʑ a̠	애동제자
애란	ɛː ɾ a̠ n	애란
애묘	ɛː m j o	애묘
애무	ɛː m u	애무
애무하다	ɛː m u ɦ a̠ d a̠	애무하다
애삐리다	e̞ p͈ i ɾ i d a̠	에삐리다
애사심	ɛː sʰ a̠ ɕʰ i m	애사심
애완	ɛː w a̠ n	애완
애완견	ɛː w a̠ n ɡ j ʌ̹ n	애완견
애완묘	ɛː w a̠ n m j o	애완묘
애완조	ɛː w a̠ ɲ d͡ʑ o̞	애완조
애월하다	ɛː w ʌ̹ ɾ ɦ a̠ d a̠	애월하다
애조	ɛː d͡ʑ o̞	애조
애증	ɛː d͡ʑ ɯ ŋ	애증
애호자	ɛː β o̞ d͡ʑ a̠	애호자
앵기다	ɛː ŋ ɡ i d a̠	앵기다
야	j a̠ː	야
야곱	j a̠ ɡ o̞ p̚	야곱
야근	j a̠ː ɡ ɯ n	야근
야기하다	j a̠ː ɡ i ɦ a̠ d a̠	야기하다
야동	j a̠ː d o̞ ŋ	야동
야레	j a̠ ɾ e̞	야레
야릇하다	j a̠ ɾ ɯ tʰ a̠ d a̠	야르타다
야부리	j a̠ b u ɾ i	야부리
야비하다	j a̠ː b i ɦ a̠ d a̠	야비하다
야설	j a̠ː sʰ ʌ̹ ɭ	야설
야속하다	j a̠ː sʰ o̞ kʰ a̠ d a̠	야소카다
야수	j a̠ː sʰ u	야수
야옹	j a̠ o̞ ŋ	야옹
야외	j a̠ː w e̞	야외
야운데	j a̠ u n d e̞	야운데
야자유	j a̠ː d͡ʑ a̠ j u	야자유
야자집게	j a̠ d͡ʑ a̠ d͡ʑ i p̚ k͈ e̞	야자집께
야짤	j a̠ t͡ɕ͈ a̠ ɭ	야짤
야차	j a̠ t͡ɕʰ a̠	야차
야쿠츠크	j a̠ kʰ u t͡ɕʰ ɯ k x ɯ	야쿠츠크
야호	j a̠ː β o̞	야호
야회	j a̠ː β w e̞	야회
약	j a̠ k̚	약
약속하다	j a̠ k s͈ o̞ kʰ a̠ d a̠	약쏘카다
얄궂다	j a̠ ɭ ɡ u t̚ t͈ a̠	얄굳따
얌전하다	j a̠ m d͡ʑ ʌ̹ n ɦ a̠ d a̠	얌전하다
얌차	j a̠ m t͡ɕʰ a̠	얌차
양	j a̠ ŋ	양
양궁	j a̠ ŋ ɡ u ŋ	양궁
양봉가	j a̠ː ŋ b o̞ ŋ ɡ a̠	양봉가
양봉장	j a̠ː ŋ b o̞ ŋ d͡ʑ a̠ ŋ	양봉장
양산	j a̠ ŋ sʰ a̠ n	양산
양수	j a̠ ŋ sʰ u	양수
양우	j a̠ ŋ u	양우
양자화	j a̠ ŋ d͡ʑ a̠ β w a̠	양자화
양지	j a̠ː ŋ d͡ʑ i	양지
양질	j a̠ ŋ d͡ʑ i ɭ	양질
양치	j a̠ ŋ t͡ɕʰ i	양치
양치기	j a̠ ŋ t͡ɕʰ i ɡ i	양치기
양탄자	j a̠ ŋ tʰ a̠ ɲ d͡ʑ a̠	양탄자
양팔	j a̠ː ŋ pʰ a̠ ɭ	양팔
양하	j a̠ ŋ ɦ a̠	양하
양혜	j a̠ ŋ ʝ e̞	양헤
얕보다	j a̠ t̚ p͈ o̞ d a̠	얃뽀다
얕잡다	j a̠ t̚ t͡ɕ͈ a̠ p̚ t͈ a̠	얃짭따
어	ʌ̹	어
어귀	ʌ̹ ɡ ɥ i	어귀
어두워지다	ʌ̹ d u w ʌ̹ d͡ʑ i d a̠	어두워지다
어드메	ʌ̹ d ɯ m e̞	어드메
어디여	ʌ̹ d i j ʌ̹	어디여
어떠하다	ʌ̹ t͈ ʌ̹ ɦ a̠ d a̠	어떠하다
어룡	ʌ̹ ɾ j o ŋ	어룡
어리광	ʌ̹ ɾ i ɡ w a̠ ŋ	어리광
어마니	ʌ̹ m a̠ n i	어마니
어머이	ʌ̹ m ʌ̹ i	어머이
어미	ʌ̹ m i	어미
어벙하다	ʌ̹ b ʌ̹ ŋ ɦ a̠ d a̠	어벙하다
어븀	ʌ̹ b j u m	어븀
어사	ʌ̹ sʰ a̠	어사
어야	ʌ̹ j a̠	어야
어업	ʌ̹ ʌ̹ p̚	어업
어엿하다	ʌ̹ j ʌ̹ tʰ a̠ d a̠	어여타다
어우러지다	ʌ̹ u ɾ ʌ̹ d͡ʑ i d a̠	어우러지다
어우르다	ʌ̹ u ɾ ɯ d a̠	어우르다
어울림	ʌ̹ u ʎ ʎ i m	어울림
어의	ʌ̹ ɰ i	어의
어저귀	ʌ̹ d͡ʑ ʌ̹ ɡ ɥ i	어저귀
어저께	ʌ̹ d͡ʑ ʌ̹ k͈ e̞	어저께
어찌씨	ʌ̹ t͡ɕ͈ i ɕ͈ i	어찌씨
어찌하다	ʌ̹ t͡ɕ͈ i ɦ a̠ d a̠	어찌하다
어청이	ʌ̹ t͡ɕʰ ʌ̹ ŋ i	어청이
어케	ʌ̹ kʰ e̞	어케
어플	ʌ̹ pʰ ɯ ɭ	어플
어플리케이션	ʌ̹ pʰ ɯ ʎ ʎ i kʰ e̞ i ɕʰ ʌ̹ n	어플리케이선
억	ʌ̹ k̚	억
억강부약	ʌ̹ k̚ k͈ a̠ ŋ b u j a̠ k̚	억깡부약
억누르다	ʌ̹ ŋ n u ɾ ɯ d a̠	엉누르다
억류자	ʌ̹ ŋ ɲ u d͡ʑ a̠	엉누자
억수로	ʌ̹ k s͈ u ɾ o̞	억쑤로
억측	ʌ̹ k̚ t͡ɕʰ ɯ k̚	억측
언급하다	ʌ̹ n ɡ ɯ pʰ a̠ d a̠	언그파다
언닌	ʌ̹ n n i n	언닌
언론가	ʌ̹ ɭ ɭ o̞ n ɡ a̠	얼론가
언론인	ʌ̹ ɭ ɭ o̞ n i n	얼로닌
언제든지	ʌ̹ ɲ d͡ʑ e̞ d ɯ ɲ d͡ʑ i	언제든지
언짢다	ʌ̹ ɲ t͡ɕ͈ a̠ n tʰ a̠	언짠타
얹다	ʌ̹ n t͈ a̠	언따
얻다	ʌ̹ t̚ t͈ a̠	얻따
얼	ʌ̹ ɭ	얼
얼굴빛	ʌ̹ ɭ ɡ u ɭ p͈ i t̚	얼굴삗
얼룩동사리	ʌ̹ ɭ ɭ u k̚ t͈ o̞ ŋ sʰ a̠ ɾ i	얼룩똥사리
얼버무리다	ʌ̹ ɭ b ʌ̹ m u ɾ i d a̠	얼버무리다
얼씨구	ʌ̹ ɭ ɕ͈ i ɡ u	얼씨구
얼음꽃	ʌ̹ ɾ ɯ m k͈ o̞ t̚	어름꼳
얼음보숭이	ʌ̹ ɾ ɯ m b o̞ sʰ u ŋ i	어름보숭이
얼음차	ʌ̹ ɾ ɯ m t͡ɕʰ a̠	어름차
얼핑	ʌ̹ ɭ pʰ i ŋ	얼핑
얽다	ʌ̹ k̚ t͈ a̠	억따
엄	ʌ̹ m	엄
엄금	ʌ̹ m ɡ ɯ m	엄금
엄동	ʌ̹ m d o̞ ŋ	엄동
엄두	ʌ̹ m d u	엄두
엄친아	ʌ̹ m t͡ɕʰ i n a̠	엄치나
엄호	ʌ̹ m β o̞	엄호
업	ʌ̹ p̚	업
업둥이	ʌ̹ p̚ t͈ u ŋ i	업뚱이
업진살	ʌ̹ p̚ t͡ɕ͈ i n sʰ a̠ ɭ	업찐살
엇	ʌ̹ t̚	얻
엇더타	ʌ̹ t̚ t͈ ʌ̹ tʰ a̠	얻떠타
엉	ʌ̹ ŋ	엉
엉거주춤	ʌ̹ ŋ ɡ ʌ̹ d͡ʑ u t͡ɕʰ u m	엉거주춤
엎드리다	ʌ̹ p̚ t͈ ɯ ɾ i d a̠	업뜨리다
엎지르다	ʌ̹ p̚ t͡ɕ͈ i ɾ ɯ d a̠	업찌르다
에	e̞	에
에기	e̞ ɡ i	에기
에다	e̞ː d a̠	에다
에드먼턴	e̞ d ɯ m ʌ̹ n tʰ ʌ̹ n	에드먼턴
에든버러	e̞ d ɯ n b ʌ̹ ɾ ʌ̹	에든버러
에르븀	e̞ ɾ ɯ b j u m	에르븀
에모지	e̞ m o̞ d͡ʑ i	에모지
에미나이	e̞ m i n a̠ i	에미나이
에바	e̞ b a̠	에바
에스빠냐	e̞ sʰ ɯ p͈ a̠ ɲ a̠	에스빠나
에스체트	e̞ sʰ ɯ t͡ɕʰ e̞ tʰ ɯ	에스체트
에스테르	e̞ sʰ ɯ tʰ e̞ ɾ ɯ	에스테르
에스페란토	e̞ sʰ ɯ pʰ e̞ ɾ a̠ n tʰ o̞	에스페란토
에어쿠션	e̞ ʌ̹ kʰ u ɕʰ ʌ̹ n	에어쿠선
에우다	e̞ u d a̠	에우다
에취	e̞ t͡ɕʰ ɥ i	에취
에테인	e̞ tʰ e̞ i n	에테인
엔	e̞ n	엔
엔나	e̞ n n a̠	엔나
엔조이	e̞ ɲ d͡ʑ o̞ i	엔조이
엔지니어링	e̞ ɲ d͡ʑ i n i ʌ̹ ɾ i ŋ	엔지니어링
엘니노	e̞ ʎ ʎ i n o̞	엘리노
엘리자베스	e̞ ʎ ʎ i d͡ʑ a̠ b e̞ sʰ ɯ	엘리자베스
엘베	e̞ ɭ b e̞	엘베
여	j ʌ̹	여
여념	j ʌ̹ ɲ ʌ̹ m	여넘
