ᆯ지	ʎ t͡ɕ͈ i	ㄹ찌
시선	ɕʰ iː sʰ ʌ̹ n	시선
시스터	ɕʰ i sʰ ɯ tʰ ʌ̹	시스터
시스템	ɕ͈ i sʰ ɯ tʰ e̞ m	씨스템
시심마	ɕʰ iː ɕʰ i m m a̠	시심마
시아버지	ɕʰ i a̠ b ʌ̹ d͡ʑ i	시아버지
시어머니	ɕʰ i ʌ̹ m ʌ̹ n i	시어머니
시에라리온	ɕ͈ i e̞ ɾ a̠ ɾ i o̞ n	씨에라리온
시원하다	ɕʰ i w ʌ̹ n ɦ a̠ d a̠	시원하다
시위	ɕʰ iː ɥ i	시위
시읏	ɕʰ i ɯ t̚	시읃
시작되다	ɕʰ iː d͡ʑ a̠ k̚ t͈ w e̞ d a̠	시작뙤다
시작하다	ɕʰ iː d͡ʑ a̠ kʰ a̠ d a̠	시자카다
시장하시다	ɕʰ i d͡ʑ a̠ ŋ ɦ a̠ ɕʰ i d a̠	시장하시다
시절	ɕʰ i d͡ʑ ʌ̹ ɭ	시절
시제	ɕʰ i d͡ʑ e̞	시제
시주	ɕʰ iː d͡ʑ u	시주
시중	ɕʰ iː d͡ʑ u ŋ	시중
시즌	ɕʰ i d͡ʑ ɯ n	시즌
시짱	ɕʰ i t͡ɕ͈ a̠ ŋ	시짱
시찰	ɕʰ i t͡ɕʰ a̠ ɭ	시찰
시청	ɕʰ iː t͡ɕʰ ʌ̹ ŋ	시청
시청자	ɕʰ iː t͡ɕʰ ʌ̹ ŋ d͡ʑ a̠	시청자
시체	ɕʰ iː t͡ɕʰ e̞	시체
시치미	ɕʰ i t͡ɕʰ i m i	시치미
시카고	ɕʰ i kʰ a̠ ɡ o̞	시카고
시토회	ɕʰ i tʰ o̞ β w e̞	시토회
시편	ɕʰ i pʰ j ʌ̹ n	시편
시합	ɕʰ i ɦ a̠ p̚	시합
시험	ɕʰ i ɦ ʌ̹ m	시험
시험하다	ɕʰ i ɦ ʌ̹ m ɦ a̠ d a̠	시험하다
식구	ɕʰ i k̚ k͈ u	식꾸
식기세척기	ɕʰ i k̚ k͈ i sʰ e̞ t͡ɕʰ ʌ̹ k̚ k͈ i	식끼세척끼
식량	ɕʰ i ŋ ɲ j a̠ ŋ	싱냥
식료품	ɕʰ i ŋ ɲ j o pʰ u m	싱뇨품
식료품점	ɕʰ i ŋ ɲ j o pʰ u m d͡ʑ ʌ̹ m	싱뇨품점
식물	ɕʰ i ŋ m u ɭ	싱물
식물학	ɕʰ i ŋ m u ɾ ɦ a̠ k̚	싱물학
식민지	ɕʰ i ŋ m i ɲ d͡ʑ i	싱민지
식빵	ɕʰ i k̚ p͈ a̠ ŋ	식빵
식사	ɕʰ i k s͈ a̠	식싸
식욕	ɕʰ i ɡ j o k̚	시굑
식용유	ɕʰ i ɡ j o ŋ ɲ j u	시굥뉴
식자	ɕʰ i k̚ t͡ɕ͈ a̠	식짜
식전	ɕʰ i k̚ t͡ɕ͈ ʌ̹ n	식쩐
식중독	ɕʰ i k̚ t͡ɕ͈ u ŋ d o̞ k̚	식쭝독
식초	ɕʰ i k̚ t͡ɕʰ o̞	식초
식탁	ɕʰ i k̚ tʰ a̠ k̚	식탁
식품	ɕʰ i k̚ pʰ u m	식품
식품보존료	ɕʰ i k̚ pʰ u m b o̞ d͡ʑ o̞ ʎ ʎ j o	식품보졸료
신경전달물질	ɕʰ i n ɡ j ʌ̹ ŋ d͡ʑ ʌ̹ n d a̠ ɭ m u ʎ t͡ɕ͈ i ɭ	신경전달물찔
신곡	ɕʰ i n ɡ o̞ k̚	신곡
신교도	ɕʰ i n ɡ j o d o̞	신교도
신규	ɕʰ i n ɡ j u	신규
신기	ɕʰ i n ɡ i	신기
신기루	ɕʰ iː n ɡ i ɾ u	신기루
신기하다	ɕʰ iː n ɡ i ɦ a̠ d a̠	신기하다
신념	ɕʰ iː n ɲ j ʌ̹ m	신념
신다	ɕʰ iː n t͈ a̠	신따
신도	ɕʰ i n d o̞	신도
신라	ɕʰ i ɭ ɭ a̠	실라
신랑	ɕʰ i ɭ ɭ a̠ ŋ	실랑
신뢰	ɕʰ iː ɭ ɭ w e̞	실뢰
신문	ɕʰ i n m u n	신문
신미	ɕʰ i n m i	신미
신발	ɕʰ i n b a̠ ɭ	신발
신부	ɕʰ i n b u	신부
신부님	ɕʰ i n b u n i m	신부님
신분	ɕʰ i n b u n	신분
신비	ɕʰ i n b i	신비
신사	ɕʰ iː n sʰ a̠	신사
신선	ɕʰ i n sʰ ʌ̹ n	신선
신선하다	ɕʰ i n sʰ ʌ̹ n ɦ a̠ d a̠	신선하다
신성	ɕʰ i n sʰ ʌ̹ ŋ	신성
신세계	ɕʰ i n sʰ e̞ ɡ j e̞	신세계
신속	ɕʰ iː n sʰ o̞ k̚	신속
신수	ɕʰ i n sʰ u	신수
신시사이저	ɕʰ i n ɕʰ i sʰ a̠ i d͡ʑ ʌ̹	신시사이저
신시아	ɕʰ i n ɕʰ i a̠	신시아
신앙	ɕʰ iː n a̠ ŋ	시낭
신용	ɕʰ iː ɲ j o ŋ	시뇽
신의주	ɕʰ i n ɰ i d͡ʑ u	시늬주
신임	ɕʰ iː n i m	시님
신임하다	ɕʰ iː n i m ɦ a̠ d a̠	시님하다
신자	ɕʰ iː ɲ d͡ʑ a̠	신자
신장위	ɕʰ i ɲ d͡ʑ a̠ ŋ ɥ i	신자위
신조어	ɕʰ i ɲ d͡ʑ o̞ ʌ̹	신조어
신종	ɕʰ iː ɲ d͡ʑ o̞ ŋ	신종
신주	ɕʰ i ɲ d͡ʑ u	신주
신중하다	ɕʰ iː ɲ d͡ʑ u ŋ ɦ a̠ d a̠	신중하다
신청	ɕʰ i ɲ t͡ɕʰ ʌ̹ ŋ	신청
신청자	ɕʰ i ɲ t͡ɕʰ ʌ̹ ŋ d͡ʑ a̠	신청자
신체	ɕʰ i ɲ t͡ɕʰ e̞	신체
신칸센	ɕʰ i n kʰ a̠ n sʰ e̞ n	신칸센
신탁통치	ɕʰ i n tʰ a̠ k̚ tʰ o̞ ŋ t͡ɕʰ i	신탁통치
신학	ɕʰ i n ɦ a̠ k̚	신학
신형	ɕʰ iː n ʝ j ʌ̹ ŋ	신형
신형코로나비루스감염증	ɕʰ i n ʝ j ʌ̹ ŋ kʰ o̞ ɾ o̞ n a̠ b i ɾ u sʰ ɯ ɡ a̠ m j ʌ̹ m d͡ʑ ɯ ŋ	신형코로나비루스가몀증
신호	ɕʰ iː n β o̞	신호
신호등	ɕʰ iː n β o̞ d ɯ ŋ	신호등
신호총	ɕʰ i n β o̞ t͡ɕʰ o̞ ŋ	신호총
신화	ɕʰ i n β w a̠	신화
실력	ɕʰ i ʎ ʎ j ʌ̹ k̚	실력
실례	ɕʰ i ʎ ʎ j e̞	실례
실로	ɕʰ i ɭ ɭ o̞	실로
실로폰	ɕʰ i ɭ ɭ o̞ pʰ o̞ n	실로폰
실록	ɕʰ i ɭ ɭ o̞ k̚	실록
실마리	ɕʰ iː ɭ m a̠ ɾ i	실마리
실망	ɕʰ i ɭ m a̠ ŋ	실망
실망하다	ɕʰ i ɭ m a̠ ŋ ɦ a̠ d a̠	실망하다
실명	ɕʰ i ɭ m j ʌ̹ ŋ	실명
실수	ɕʰ i ɭ s͈ u	실쑤
실습	ɕʰ i ɭ s͈ ɯ p̚	실씁
실시	ɕʰ i ɭ ɕ͈ i	실씨
실업	ɕʰ i ɾ ʌ̹ p̚	시럽
실업가	ɕʰ i ɾ ʌ̹ p̚ k͈ a̠	시럽까
실장	ɕʰ i ʎ t͡ɕ͈ a̠ ŋ	실짱
실정	ɕʰ i ʎ t͡ɕ͈ ʌ̹ ŋ	실쩡
실제	ɕʰ i ʎ t͡ɕ͈ e̞	실쩨
실제로	ɕʰ i ʎ t͡ɕ͈ e̞ ɾ o̞	실쩨로
실존주의	ɕʰ i ʎ t͡ɕ͈ o̞ ɲ d͡ʑ u ɰ i	실쫀주의
실천	ɕʰ i ʎ t͡ɕʰ ʌ̹ n	실천
실체	ɕʰ i ʎ t͡ɕʰ e̞	실체
실컷	ɕʰ i ɭ kʰ ʌ̹ t̚	실컫
실험	ɕʰ i ɾ ɦ ʌ̹ m	실험
실현	ɕʰ i ɾ ʝ j ʌ̹ n	실현
싫다	ɕʰ i ɭ tʰ a̠	실타
싫어하다	ɕʰ i ɾ ʌ̹ ɦ a̠ d a̠	시러하다
심각하다	ɕʰ iː m ɡ a̠ kʰ a̠ d a̠	심가카다
심다	ɕʰ iː m t͈ a̠	심따
심란하다	ɕʰ i m n a̠ n ɦ a̠ d a̠	심난하다
심리학	ɕʰ i m n i ɦ a̠ k̚	심니학
심마니	ɕʰ i m m a̠ n i	심마니
심마니말	ɕʰ i m m a̠ n i m a̠ ɭ	심마니말
심부름	ɕʰ iː m b u ɾ ɯ m	심부름
심사	ɕʰ i m sʰ a̠	심사
심사숙고	ɕʰ iː m sʰ a̠ sʰ u k̚ k͈ o̞	심사숙꼬
심성	ɕʰ i m sʰ ʌ̹ ŋ	심성
심심하다	ɕʰ i m ɕʰ i m ɦ a̠ d a̠	심심하다
심정	ɕʰ i m d͡ʑ ʌ̹ ŋ	심정
심지	ɕʰ i m d͡ʑ i	심지
심포지엄	ɕʰ i m pʰ o̞ d͡ʑ i ʌ̹ m	심포지엄
십삼	ɕʰ i p s͈ a̠ m	십쌈
십오	ɕʰ i b o̞	시보
십이	ɕʰ i b i	시비
십일월	ɕʰ i b i ɾ w ʌ̹ ɭ	시비뤌
십자	ɕʰ i p̚ t͡ɕ͈ a̠	십짜
십자가	ɕʰ i p̚ t͡ɕ͈ a̠ ɡ a̠	십짜가
싱가포르	ɕʰ i ŋ ɡ a̠ pʰ o̞ ɾ ɯ	싱가포르
싱글싱글	ɕʰ i ŋ ɡ ɯ ɭ ɕʰ i ŋ ɡ ɯ ɭ	싱글싱글
싶다	ɕʰ i p̚ t͈ a̠	십따
싸다	s͈ a̠ d a̠	싸다
싸리	s͈ a̠ ɾ i	싸리
싸우다	s͈ a̠ u d a̠	싸우다
쌀국수	s͈ a̠ ɭ ɡ u k s͈ u	쌀국쑤
쌀미꾸리	s͈ a̠ ɭ m i k͈ u ɾ i	쌀미꾸리
쌀밥	s͈ a̠ ɭ b a̠ p̚	쌀밥
쌀쌀	s͈ a̠ ɭ s͈ a̠ ɭ	쌀쌀
쌀쌀하다	s͈ a̠ ɭ s͈ a̠ ɾ ɦ a̠ d a̠	쌀쌀하다
쌀쌀히	s͈ a̠ ɭ s͈ a̠ ɾ ʝ i	쌀쌀히
쌍꺼풀	s͈ a̠ ŋ k͈ ʌ̹ pʰ u ɭ	쌍꺼풀
쌍둥이	s͈ a̠ ŋ d u ŋ i	쌍두이
쌍디귿	s͈ a̠ ŋ d i ɡ ɯ t̚	쌍디귿
쌍안경	s͈ a̠ ŋ a̠ n ɡ j ʌ̹ ŋ	싸안경
쌓다	s͈ a̠ tʰ a̠	싸타
써리다	s͈ ɘː ɾ i d a̠	써리다
써우지	s͈ ʌ̹ u d͡ʑ i	써우지
쎈터	s͈ e̞ n tʰ ʌ̹	쎈터
쏘가리	s͈ o̞ ɡ a̠ ɾ i	쏘가리
쏘다	s͈ o̞ː d a̠	쏘다
쏜살같이	s͈ o̞ n sʰ a̠ ɭ ɡ a̠ t͡ɕʰ i	쏜살가치
쏟아지다	s͈ o̞ d a̠ d͡ʑ i d a̠	쏘다지다
쐐기	s͈ w ɛː ɡ i	쐐기
쐬다	s͈ w e̞ː d a̠	쐬다
쑤시다	s͈ u ɕʰ i d a̠	쑤시다
쑥갓	s͈ u k̚ k͈ a̠ t̚	쑥깓
쓰다	s͈ ɯ d a̠	쓰다
쓰다듬다	s͈ ɯ d a̠ d ɯ m t͈ a̠	쓰다듬따
쓰딸로바야	s͈ ɯ t͈ a̠ ɭ ɭ o̞ b a̠ j a̠	쓰딸로바야
쓰러지다	s͈ ɯ ɾ ʌ̹ d͡ʑ i d a̠	쓰러지다
쓰레기	s͈ ɯ ɾ e̞ ɡ i	쓰레기
쓰리	s͈ ɯ ɾ i	쓰리
쓰이다	s͈ ɯ i d a̠	쓰이다
쓰푸	s͈ ɯ pʰ u	쓰푸
쓸데	s͈ ɯ ɭ t͈ e̞	쓸떼
쓸모	s͈ ɯ ɭ m o̞	쓸모
씌우다	ɕ͈ i u d a̠	씨우다
씨름	ɕ͈ i ɾ ɯ m	씨름
씨앗	ɕ͈ i a̠ t̚	씨앋
씹거웃	ɕ͈ i p̚ k͈ ʌ̹ u t̚	씹꺼욷
씹다	ɕ͈ i p̚ t͈ a̠	씹따
씹덕	ɕ͈ i p̚ t͈ ʌ̹ k̚	씹떡
씻다	ɕ͈ i t̚ t͈ a̠	씯따
아가미	a̠ ɡ a̠ m i	아가미
아가씨	a̠ ɡ a̠ ɕ͈ i	아가씨
아군	a̠ː ɡ u n	아군
아궁이	a̠ ɡ u ŋ i	아구이
아기	a̠ ɡ i	아기
아나운서	a̠ n a̠ u n sʰ ʌ̹	아나운서
아냐	a̠ ɲ j a̠	아냐
아니	a̠ n i	아니
아니다	a̠ n i d a̠	아니다
아니메	a̠ n i m e̞	아니메
아니면	a̠ n i m j ʌ̹ n	아니면
아니야	a̠ n i j a̠	아니야
아담	a̠ d a̠ m	아담
아동	a̠ d o̞ ŋ	아동
아들딸	a̠ d ɯ ɭ t͈ a̠ ɭ	아들딸
아디스아바바	a̠ d i sʰ ɯ a̠ b a̠ b a̠	아디스아바바
아라	a̠ ɾ a̠	아라
아라비아	a̠ ɾ a̠ b i a̠	아라비아
아라한	a̠ ɾ a̠ ɦ a̠ n	아라한
아랍	a̠ ɾ a̠ p̚	아랍
아랍어	a̠ ɾ a̠ b ʌ̹	아라버
아랍에미리트	a̠ ɾ a̠ b e̞ m i ɾ i tʰ ɯ	아라베미리트
아련	a̠ ɾ j ʌ̹ n	아련
아련히	a̠ ɾ j ʌ̹ n ʝ i	아련히
아론	a̠ ɾ o̞ n	아론
아롱아롱	a̠ ɾ o̞ ŋ a̠ ɾ o̞ ŋ	아로아롱
아르메니아	a̠ ɾ ɯ m e̞ n i a̠	아르메니아
아르메니아어	a̠ ɾ ɯ m e̞ n i a̠ ʌ̹	아르메니아어
아르바이트	a̠ ɾ ɯ b a̠ i tʰ ɯ	아르바이트
아름답다	a̠ ɾ ɯ m d a̠ p̚ t͈ a̠	아름답따
아리	a̠ ɾ i	아리
아리랑	a̠ ɾ i ɾ a̠ ŋ	아리랑
아리수	a̠ ɾ i sʰ u	아리수
아마	a̠ m a̠	아마
아마도	a̠ m a̠ d o̞	아마도
아마존	a̠ m a̠ d͡ʑ o̞ n	아마존
아마추어	a̠ m a̠ t͡ɕʰ u ʌ̹	아마추어
아메리카	a̠ m e̞ ɾ i kʰ a̠	아메리카
아메바	a̠ m e̞ b a̠	아메바
아멘	a̠ m e̞ n	아멘
아몬드	a̠ m o̞ n d ɯ	아몬드
아무	a̠ː m u	아무
아무런	a̠ː m u ɾ ʌ̹ n	아무런
아무리	a̠ː m u ɾ i	아무리
아미노산	a̠ m i n o̞ sʰ a̠ n	아미노산
아미타불	a̠ m i tʰ a̠ b u ɭ	아미타불
아민	a̠ m i n	아민
아바나	a̠ b a̠ n a̠	아바나
아버님	a̠ b ʌ̹ n i m	아버님
아보카도	a̠ b o̞ kʰ a̠ d o̞	아보카도
아부다비	a̠ b u d a̠ b i	아부다비
아부자	a̠ b u d͡ʑ a̠	아부자
아브라함	a̠ b ɯ ɾ a̠ ɦ a̠ m	아브라함
아비	a̠ b i	아비
아빠트	a̠ p͈ a̠ tʰ ɯ	아빠트
아뿔싸	a̠ p͈ u ɭ s͈ a̠	아뿔싸
아서	a̠ sʰ ʌ̹	아서
아수라	a̠ː sʰ u ɾ a̠	아수라
아순시온	a̠ sʰ u n ɕʰ i o̞ n	아순시온
아쉬움	a̠ ʃʰ ɥ i u m	아쉬움
아쉽다	a̠ ʃʰ ɥ i p̚ t͈ a̠	아쉽따
아스타나	a̠ sʰ ɯ tʰ a̠ n a̠	아스타나
아스타틴	a̠ sʰ ɯ tʰ a̠ tʰ i n	아스타틴
아스텍	a̠ sʰ ɯ tʰ e̞ k̚	아스텍
아스파라거스	a̠ sʰ ɯ pʰ a̠ ɾ a̠ ɡ ʌ̹ sʰ ɯ	아스파라거스
아시아	a̠ ɕʰ i a̠	아시아
아시타비	a̠ː ɕʰ i tʰ a̠ b i	아시타비
아악	a̠ː a̠ k̚	아악
아야	a̠ j a̠	아야
아야겠	a̠ j a̠ ɡ e̞ t̚	아야겓
아연	a̠ j ʌ̹ n	아연
아예	a̠ j e̞	아예
아오자이	a̠ o̞ d͡ʑ a̠ i	아오자이
아요	a̠ j o	아요
아우구스투스	a̠ u ɡ u sʰ ɯ tʰ u sʰ ɯ	아우구스투스
아웃	a̠ u t̚	아욷
아유	a̠ j u	아유
아이	a̠ i	아이
아이가	a̠ i ɡ a̠	아이가
아이고	a̠ i ɡ o̞	아이고
아이다	a̠ i d a̠	아이다
아이돌	a̠ i d o̞ ɭ	아이돌
아이들	a̠ i d ɯ ɭ	아이들
아이디	a̠ i d i	아이디
아이쇼핑	a̠ i ɕ͈ o pʰ i ŋ	아이쑈핑
아이슬란드	a̠ i sʰ ɯ ɭ ɭ a̠ n d ɯ	아이슬란드
아이콘	a̠ i kʰ o̞ n	아이콘
아이템	a̠ i tʰ e̞ m	아이템
아이티	a̠ i tʰ i	아이티
아이폰	a̠ i pʰ o̞ n	아이폰
아자	a̠ d͡ʑ a̠	아자
아저씨	a̠ d͡ʑ ʌ̹ ɕ͈ i	아저씨
아점	a̠ d͡ʑ ʌ̹ m	아점
아제르바이잔	a̠ d͡ʑ e̞ ɾ ɯ b a̠ i d͡ʑ a̠ n	아제르바이잔
아제티딘	a̠ d͡ʑ e̞ tʰ i d i n	아제티딘
아주	a̠ d͡ʑ u	아주
아주머니	a̠ d͡ʑ u m ʌ̹ n i	아주머니
아줄렌	a̠ d͡ʑ u ɭ ɭ e̞ n	아줄렌
아즈바이	a̠ d͡ʑ ɯ b a̠ i	아즈바이
아지트	a̠ d͡ʑ i tʰ ɯ	아지트
아직	a̠ d͡ʑ i k̚	아직
아체쥐	a̠ t͡ɕʰ e̞ d͡ʑ ɥ i	아체쥐
아카데미	a̠ kʰ a̠ d e̞ m i	아카데미
아코디언	a̠ kʰ o̞ d i ʌ̹ n	아코디언
아크라	a̠ k x ɯ ɾ a̠	악흐라
아크리딘	a̠ k x ɯ ɾ i d i n	악흐리딘
아테네	a̠ tʰ e̞ n e̞	아테네
아틀리에	a̠ tʰ ɯ ʎ ʎ i e̞	아틀리에
아티초크	a̠ tʰ i t͡ɕʰ o̞ k x ɯ	아티촉흐
아파르트헤이트	a̠ pʰ a̠ ɾ ɯ tʰ ɯ ɦ e̞ i tʰ ɯ	아파르트헤이트
아파트	a̠ pʰ a̠ tʰ ɯ	아파트
아편	a̠ pʰ j ʌ̹ n	아편
아프가니스탄	a̠ pʰ ɯ ɡ a̠ n i sʰ ɯ tʰ a̠ n	아프가니스탄
아프다	a̠ pʰ ɯ d a̠	아프다
아프로디테	a̠ pʰ ɯ ɾ o̞ d i tʰ e̞	아프로디테
아프리카	a̠ pʰ ɯ ɾ i kʰ a̠	아프리카
아휴	a̠ ʝ j u	아휴
아흐레	a̠ ɣ ɯ ɾ e̞	아ɣㅡ레
악곡	a̠ k̚ k͈ o̞ k̚	악꼭
악단	a̠ k̚ t͈ a̠ n	악딴
악당	a̠ k̚ t͈ a̠ ŋ	악땅
악동	a̠ k̚ t͈ o̞ ŋ	악똥
악력	a̠ ŋ ɲ j ʌ̹ k̚	앙녁
악마	a̠ ŋ m a̠	앙마
악몽	a̠ ŋ m o̞ ŋ	앙몽
악성	a̠ k s͈ ʌ̹ ŋ	악썽
악수	a̠ k s͈ u	악쑤
악습	a̠ k s͈ ɯ p̚	악씁
악어	a̠ ɡ ʌ̹	아거
악영향	a̠ ɡ j ʌ̹ ŋ ʝ j a̠ ŋ	아경향
악인	a̠ ɡ i n	아긴
악취	a̠ k̚ t͡ɕʰ ɥ i	악취
악평	a̠ k̚ pʰ j ʌ̹ ŋ	악평
악한	a̠ kʰ a̠ n	아칸
안경	a̠ː n ɡ j ʌ̹ ŋ	안경
안과	a̠ː n k͈ w a̠	안꽈
안녕	a̠ n ɲ j ʌ̹ ŋ	안녕
안녕히	a̠ n ɲ j ʌ̹ ŋ ʝ i	안녕히
안다	a̠ː n t͈ a̠	안따
안도라	a̠ n d o̞ ɾ a̠	안도라
안되다	a̠ n d w e̞ d a̠	안되다
안드레아	a̠ n d ɯ ɾ e̞ a̠	안드레아
안드로이드	a̠ n d ɯ ɾ o̞ i d ɯ	안드로이드
안락사	a̠ ɭ ɭ a̠ k s͈ a̠	알락싸
안락의자	a̠ ɭ ɭ a̠ ɡ ɰ i d͡ʑ a̠	알라긔자
안마	a̠ː n m a̠	안마
안면승마	a̠ n m j ʌ̹ n sʰ ɯ ŋ m a̠	안면승마
안방	a̠ n b a̠ ŋ	안방
안부	a̠ n b u	안부
안심	a̠ n ɕʰ i m	안심
안심하다	a̠ n ɕʰ i m ɦ a̠ d a̠	안심하다
안전	a̠ ɲ d͡ʑ ʌ̹ n	안전
안전제일	a̠ ɲ d͡ʑ ʌ̹ ɲ d͡ʑ e̞ i ɭ	안전제일
안절부절	a̠ ɲ d͡ʑ ʌ̹ ɭ b u d͡ʑ ʌ̹ ɭ	안절부절
안절부절못하다	a̠ ɲ d͡ʑ ʌ̹ ɭ b u d͡ʑ ʌ̹ ɭ m o̞ tʰ a̠ d a̠	안절부절모타다
안주	a̠ ɲ d͡ʑ u	안주
안쪽	a̠ ɲ t͡ɕ͈ o̞ k̚	안쪽
안타	a̠ n tʰ a̠	안타
안타나나리보	a̠ n tʰ a̠ n a̠ n a̠ ɾ i b o̞	안타나나리보
안티	a̠ n tʰ i	안티
안후이	a̠ n β u i	안후이
안휘	a̠ n ɦ ɥ i	안휘
알거지	a̠ ɭ ɡ ʌ̹ d͡ʑ i	알거지
알고리즘	a̠ ɭ ɡ o̞ ɾ i d͡ʑ ɯ m	알고리즘
알곡	a̠ ɭ ɡ o̞ k̚	알곡
알까기	a̠ ɭ k͈ a̠ ɡ i	알까기
알다	a̠ː ɭ d a̠	알다
알데히드	a̠ ɭ d e̞ ʝ i d ɯ	알데히드
알라	a̠ ɭ ɭ a̠	알라
알레르기	a̠ ɭ ɭ e̞ ɾ ɯ ɡ i	알레르기
알렉산드리아	a̠ ɭ ɭ e̞ k s͈ a̠ n d ɯ ɾ i a̠	알렉싼드리아
알려지다	a̠ ʎ ʎ j ʌ̹ d͡ʑ i d a̠	알려지다
알력	a̠ ʎ ʎ j ʌ̹ k̚	알력
알루미늄	a̠ ɭ ɭ u m i ɲ j u m	알루미늄
알리고	a̠ ʎ ʎ i ɡ o̞	알리고
알리다	a̠ ʎ ʎ i d a̠	알리다
알맞다	a̠ ɭ m a̠ t̚ t͈ a̠	알맏따
알바니아	a̠ ɭ b a̠ n i a̠	알바니아
알바니아어	a̠ ɭ b a̠ n i a̠ ʌ̹	알바니아어
알아보다	a̠ ɾ a̠ b o̞ d a̠	아라보다
알약	a̠ ʎ ʎ j a̠ k̚	알략
알제	a̠ ʎ d͡ʑ e̞	알제
알제리	a̠ ʎ d͡ʑ e̞ ɾ i	알제리
알칸	a̠ ɭ kʰ a̠ n	알칸
알칼로이드	a̠ ɭ kʰ a̠ ɭ ɭ o̞ i d ɯ	알칼로이드
알칼리	a̠ ɭ kʰ a̠ ʎ ʎ i	알칼리
알켄	a̠ ɭ kʰ e̞ n	알켄
알콜	a̠ ɭ kʰ o̞ ɭ	알콜
알타이	a̠ ɭ tʰ a̠ i	알타이
알파	a̠ ɭ pʰ a̠	알파
알판	a̠ ɭ pʰ a̠ n	알판
알현	a̠ ɾ ʝ j ʌ̹ n	알현
앓다	a̠ ɭ tʰ a̠	알타
앓이	a̠ ɾ i	아리
암만	a̠ m m a̠ n	암만
암말	a̠ m m a̠ ɭ	암말
암벽	a̠ m b j ʌ̹ k̚	암벽
암살	a̠ m sʰ a̠ ɭ	암살
암스테르담	a̠ m sʰ ɯ tʰ e̞ ɾ ɯ d a̠ m	암스테르담
암시	a̠ː m ɕʰ i	암시
암실	a̠ː m ɕʰ i ɭ	암실
암자	a̠ m d͡ʑ a̠	암자
암초	a̠ː m t͡ɕʰ o̞	암초
암컷	a̠ m kʰ ʌ̹ t̚	암컫
암탉	a̠ m tʰ a̠ k̚	암탁
암향	a̠ː m ʝ j a̠ ŋ	암향
암호	a̠ː m β o̞	암호
암흑	a̠ː m ɣ ɯ k̚	암ɣㅡㄱ
압도	a̠ p̚ t͈ o̞	압또
압또부스	a̠ p̚ t͈ o̞ b u sʰ ɯ	압또부스
압력	a̠ m ɲ j ʌ̹ k̚	암녁
압박	a̠ p̚ p͈ a̠ k̚	압빡
앙골라	a̠ ŋ ɡ o̞ ɭ ɭ a̠	앙골라
앙상블	a̠ ŋ sʰ a̠ ŋ b ɯ ɭ	앙상블
앙숙	a̠ ŋ sʰ u k̚	앙숙
앙심	a̠ ŋ ɕʰ i m	앙심
앙이다	a̠ ŋ i d a̠	아이다
앙카라	a̠ ŋ kʰ a̠ ɾ a̠	앙카라
앙케트	a̠ ŋ kʰ e̞ tʰ ɯ	앙케트
앞다리	a̠ p̚ t͈ a̠ ɾ i	압따리
앞뒤	a̠ p̚ t͈ ɥ i	압뛰
앞면	a̠ m m j ʌ̹ n	암면
앞서	a̠ p s͈ ʌ̹	압써
앞서다	a̠ p s͈ ʌ̹ d a̠	압써다
앞에서	a̠ pʰ e̞ sʰ ʌ̹	아페서
앞으로	a̠ pʰ ɯ ɾ o̞	아프로
애교	ɛː ɡ j o	애교
애국심	ɛː ɡ u k ɕ͈ i m	애국씸
애국자	ɛː ɡ u k̚ t͡ɕ͈ a̠	애국짜
애국주의	ɛː ɡ u k̚ t͡ɕ͈ u ɰ i	애국쭈의
애쓰다	ɛː s͈ ɯ d a̠	애쓰다
애완동물	ɛː w a̠ n d o̞ ŋ m u ɭ	애완동물
애인	ɛː i n	애인
애정	ɛː d͡ʑ ʌ̹ ŋ	애정
애칭	ɛː t͡ɕʰ i ŋ	애칭
야경	j a̠ː ɡ j ʌ̹ ŋ	야경
야구장	j a̠ː ɡ u d͡ʑ a̠ ŋ	야구장
야당	j a̠ː d a̠ ŋ	야당
야마토	j a̠ m a̠ tʰ o̞	야마토
야무수크로	j a̠ m u sʰ u k x ɯ ɾ o̞	야무숙흐로
야민정음	j a̠ m i ɲ d͡ʑ ʌ̹ ŋ ɯ m	야민저음
야식	j a̠ː ɕʰ i k̚	야식
야자나무	j a̠ː d͡ʑ a̠ n a̠ m u	야자나무
야자수	j a̠ː d͡ʑ a̠ sʰ u	야자수
야쿠자	j a̠ kʰ u d͡ʑ a̠	야쿠자
야하다	j a̠ː ɦ a̠ d a̠	야하다
야한	j a̠ː ɦ a̠ n	야한
야훼	j a̠ β w e̞	야훼
약국	j a̠ k̚ k͈ u k̚	약꾹
약도	j a̠ k̚ t͈ o̞	약또
약력	j a̠ ŋ ɲ j ʌ̹ k̚	양녁
약사	j a̠ k s͈ a̠	약싸
약속	j a̠ k s͈ o̞ k̚	약쏙
약식	j a̠ k ɕ͈ i k̚	약씩
약실	j a̠ k ɕ͈ i ɭ	약씰
약자	j a̠ k̚ t͡ɕ͈ a̠	약짜
약점	j a̠ k̚ t͡ɕ͈ ʌ̹ m	약쩜
약주	j a̠ k̚ t͡ɕ͈ u	약쭈
약칭	j a̠ k̚ t͡ɕʰ i ŋ	약칭
약탈	j a̠ k̚ tʰ a̠ ɭ	약탈
약품	j a̠ k̚ pʰ u m	약품
약하다	j a̠ kʰ a̠ d a̠	야카다
