ᆜ	j ɯ
송금	sʰ o̞ ŋ ɡ ɯ m
송자	sʰ o̞ ŋ d͡ʑ a̠
송장	sʰ o̞ː ŋ d͡ʑ a̠ ŋ
송쿠	sʰ o̞ ŋ kʰ u
솥	sʰ o̞ t̚
쇄도	sʰ w ɛː d o̞
쇠	sʰ w e̞
쇠기름	sʰ w e̞ː ɡ i ɾ ɯ m
쇠뇌	sʰ w e̞ n w e̞
쇠뒤쥐	sʰ w e̞ d ɥ i d͡ʑ ɥ i
쇠똥	sʰ w e̞ t͈ o̞ ŋ
쇠뜨기	sʰ w e̞ t͈ ɯ ɡ i
쇠뼈	sʰ w e̞ p͈ j ʌ̹
쇠뿔	sʰ w e̞ p͈ u ɭ
쇠오리	sʰ w e̞ o̞ ɾ i
쇠퇴하다	sʰ w e̞ tʰ w e̞ ɦ a̠ d a̠
쇠하다	sʰ w e̞ ɦ a̠ d a̠
쇠황조롱이	sʰ w e̞ β w a̠ ŋ d͡ʑ o̞ ɾ o̞ ŋ i
쇼	ɕ͈ o
쇼라인	ɕʰ o ɾ a̠ i n
쇼비니즘	ɕʰ o b i n i d͡ʑ ɯ m
쇼어라인	ɕʰ o ʌ̹ ɾ a̠ i n
쇼트	ɕʰ o tʰ ɯ
쇼핑하다	ɕʰ o pʰ i ŋ ɦ a̠ d a̠
수	sʰ u
수감자	sʰ u ɡ a̠ m d͡ʑ a̠
수고하다	sʰ uː ɡ o̞ ɦ a̠ d a̠
수구여병	sʰ u ɡ u j ʌ̹ b j ʌ̹ ŋ
수권	sʰ u k͈ w ʌ̹ n
수뇌상봉	sʰ u n w e̞ sʰ a̠ ŋ b o̞ ŋ
수뇨관	sʰ u ɲ o ɡ w a̠ n
수다떨다	sʰ u d a̠ t͈ ʌ̹ ɭ d a̠
수란	sʰ u ɾ a̠ n
수리	sʰ u ɾ i
수리아	sʰ u ɾ i a̠
수리하다	sʰ u ɾ i ɦ a̠ d a̠
수많다	sʰ uː m a̠ n tʰ a̠
수모	sʰ u m o̞
수비	sʰ u b i
수사	sʰ u sʰ a̠
수사관	sʰ u sʰ a̠ ɡ w a̠ n
수산기	sʰ u sʰ a̠ n ɡ i
수상자	sʰ u sʰ a̠ ŋ d͡ʑ a̠
수소탄	sʰ u sʰ o̞ tʰ a̠ n
수수꽃다리	sʰ u sʰ u k͈ o̞ t̚ t͈ a̠ ɾ i
수습하다	sʰ u sʰ ɯ pʰ a̠ d a̠
수신기	sʰ u ɕʰ i n ɡ i
수신인	sʰ u ɕʰ i n i n
수양버들	sʰ u j a̠ ŋ b ʌ̹ d ɯ ɭ
수어	sʰ u ʌ̹
수영하다	sʰ u j ʌ̹ ŋ ɦ a̠ d a̠
수오리	sʰ u o̞ ɾ i
수용소	sʰ u j o ŋ sʰ o̞
수장국	sʰ u d͡ʑ a̠ ŋ ɡ u k̚
수장룡	sʰ u d͡ʑ a̠ ŋ ɲ o ŋ
수정안	sʰ u d͡ʑ ʌ̹ ŋ a̠ n
수정주의	sʰ u d͡ʑ ʌ̹ ŋ d͡ʑ u ɰ i
수제자	sʰ u d͡ʑ e̞ d͡ʑ a̠
수증기	sʰ u d͡ʑ ɯ ŋ ɡ i
수집	sʰ u d͡ʑ i p̚
수청목	sʰ u t͡ɕʰ ʌ̹ ŋ m o̞ k̚
수취인	sʰ u t͡ɕʰ ɥ i i n
수코양이	sʰ u kʰ o̞ j a̠ ŋ i
수탉	sʰ u tʰ a̠ k̚
수통	sʰ u tʰ o̞ ŋ
수판	sʰ uː pʰ a̠ n
수풍금	sʰ u pʰ u ŋ ɡ ɯ m
수학	sʰ u ɦ a̠ k̚
수효	sʰ uː ʝ o
숙	sʰ u k̚
숙녀	sʰ u ŋ ɲ ʌ̹
숙련자	sʰ u ŋ ɲ ʌ̹ ɲ d͡ʑ a̠
숙명론	sʰ u ŋ m j ʌ̹ ŋ n o̞ n
숙박하다	sʰ u k̚ p͈ a̠ kʰ a̠ d a̠
숙이다	sʰ u ɡ i d a̠
숙제하다	sʰ u k̚ t͡ɕ͈ e̞ ɦ a̠ d a̠
숙청	sʰ u k̚ t͡ɕʰ ʌ̹ ŋ
순무	sʰ u n m u
순우리말	sʰ u n u ɾ i m a̠ ɭ
순조	sʰ uː ɲ d͡ʑ o̞
순진하다	sʰ u ɲ d͡ʑ i n ɦ a̠ d a̠
순하다	sʰ uː n ɦ a̠ d a̠
술	sʰ u ɭ
술기운	sʰ u ɭ k͈ i u n
술라쥐	sʰ u ɭ ɭ a̠ d͡ʑ ɥ i
술맛	sʰ u ɭ m a̠ t̚
술밑	sʰ u ɭ m i t̚
숨	sʰ uː m
숨구멍	sʰ uː m k͈ u m ʌ̹ ŋ
숨다	sʰ uː m t͈ a̠
숫	sʰ u t̚
숫처녀	sʰ u t̚ t͡ɕʰ ʌ̹ ɲ ʌ̹
숭	sʰ u ŋ
숭경	sʰ u ŋ ɡ j ʌ̹ ŋ
숭경하다	sʰ u ŋ ɡ j ʌ̹ ŋ ɦ a̠ d a̠
숭고	sʰ u ŋ ɡ o̞
숯	sʰ u t̚
숱	sʰ u t̚
숲	sʰ u p̚
숲들쥐	sʰ u p̚ t͈ ɯ ʎ d͡ʑ ɥ i
숲비둘기	sʰ u p̚ p͈ i d u ɭ ɡ i
숴	sʰ w ʌ̹
쉐	sʰ w e̞
쉘	sʰ w e̞ ɭ
쉬	ʃʰ ɥ i
쉬리	ʃʰ ɥ i ɾ i
쉰	ʃʰ ɥ iː n
쉴드치다	ʃʰ ɥ i ɭ d ɯ t͡ɕʰ i d a̠
쉼	ʃʰ ɥ i m
슈	ɕʰ u
슈니첼	ɕʰ u n i t͡ɕʰ e̞ ɭ
슈인	ɕʰ u i n
슈트케이스	ɕʰ u tʰ ɯ kʰ e̞ i s͈ ɯ
슈퍼마케트	ɕʰ u pʰ ʌ̹ m a̠ kʰ e̞ tʰ ɯ
슈퍼모델	ɕʰ u pʰ ʌ̹ m o̞ d e̞ ɭ
슛	ɕʰ u t̚
스	sʰ ɯ
스께또	sʰ ɯ k͈ e̞ t͈ o̞
스드메	sʰ ɯ d ɯ m e̞
스무	sʰ ɯ m u
스무날	sʰ ɯ m u n a̠ ɭ
스미다	sʰ ɯ m i d a̠
스빠게띠	sʰ ɯ p͈ a̠ ɡ e̞ t͈ i
스시녀	sʰ ɯ ɕʰ i ɲ ʌ̹
스압	sʰ ɯ a̠ p̚
스와질란드	sʰ ɯ w a̠ d͡ʑ i ɭ ɭ a̠ n d ɯ
스웨덴어	sʰ ɯ w e̞ d e̞ n ʌ̹
스치다	sʰ ɯ t͡ɕʰ i d a̠
스카	sʰ ɯ kʰ a̠
스칸듐	sʰ ɯ kʰ a̠ n d j u m
스칸디나비아	sʰ ɯ kʰ a̠ n d i n a̠ b i a̠
스케트	sʰ ɯ kʰ e̞ tʰ ɯ
스코어보드	sʰ ɯ kʰ o̞ ʌ̹ b o̞ d ɯ
스코페	sʰ ɯ kʰ o̞ pʰ e̞
스크롤링	sʰ ɯ k x ɯ ɾ o̞ ʎ ʎ i ŋ
스타디오	sʰ ɯ tʰ a̠ d i o̞
스테아르산	sʰ ɯ tʰ e̞ a̠ ɾ ɯ sʰ a̠ n
스토리	sʰ ɯ tʰ o̞ ɾ i
스토커	sʰ ɯ tʰ o̞ kʰ ʌ̹
스트레칭	sʰ ɯ tʰ ɯ ɾ e̞ t͡ɕʰ i ŋ
스틱	sʰ ɯ tʰ i k̚
스폰서	sʰ ɯ pʰ o̞ n s͈ ʌ̹
스풀	sʰ ɯ pʰ u ɭ
스핑크스	sʰ ɯ pʰ i ŋ k x ɯ sʰ ɯ
슬	sʰ ɯ ɭ
슬기롭다	sʰ ɯ ɭ ɡ i ɾ o̞ p̚ t͈ a̠
슬라이드	sʰ ɯ ɭ ɭ a̠ i d ɯ
슬픔증	sʰ ɯ ɭ pʰ ɯ m t͡ɕ͈ ɯ ŋ
슴가	sʰ ɯ m ɡ a̠
습	sʰ ɯ p̚
습성	sʰ ɯ p s͈ ʌ̹ ŋ
승	sʰ ɯ ŋ
승리자	sʰ ɯ ŋ n i d͡ʑ a̠
승리하다	sʰ ɯ ŋ n i ɦ a̠ d a̠
승방	sʰ ɯ ŋ b a̠ ŋ
승복	sʰ ɯ ŋ b o̞ k̚
승부조작	sʰ ɯ ŋ b u d͡ʑ o̞ d͡ʑ a̠ k̚
승산	sʰ ɯ ŋ sʰ a̠ n
승원	sʰ ɯ ŋ w ʌ̹ n
승인	sʰ ɯ ŋ i n
승인하다	sʰ ɯ ŋ i n ɦ a̠ d a̠
승전	sʰ ɯ ŋ d͡ʑ ʌ̹ n
승전하다	sʰ ɯ ŋ d͡ʑ ʌ̹ n ɦ a̠ d a̠
승진되다	sʰ ɯ ŋ d͡ʑ i n d w e̞ d a̠
승진하다	sʰ ɯ ŋ d͡ʑ i n ɦ a̠ d a̠
승탑	sʰ ɯ ŋ tʰ a̠ p̚
승하	sʰ ɯ ŋ ɦ a̠
승학연	sʰ ɯ ŋ ɦ a̠ ɡ j ʌ̹ n
시	ɕʰ i
시각	ɕʰ i ɡ a̠ k̚
시골길	ɕʰ i ɡ o̞ ɭ ɡ i ɭ
시기	ɕʰ i ɡ i
시나이	ɕʰ i n a̠ i
시더구	ɕʰ i d ʌ̹ ɡ u
시들다	ɕʰ i d ɯ ɭ d a̠
시무룩	ɕʰ i m u ɾ u k̚
시무룩하다	ɕʰ i m u ɾ u kʰ a̠ d a̠
시발	ɕʰ i b a̠ ɭ
시보귬	ɕʰ i b o̞ ɡ j u m
시소	ɕʰ i sʰ o̞
시숙	ɕʰ i sʰ u k̚
시시덕거리다	ɕʰ i ɕʰ i d ʌ̹ k̚ k͈ ʌ̹ ɾ i d a̠
시알코트	ɕʰ i a̠ ɭ kʰ o̞ tʰ ɯ
시앗	ɕʰ i a̠ t̚
시옷	ɕʰ i o̞ t̚
시왕	ɕʰ i w a̠ ŋ
시유	ɕʰ iː j u
시유하다	ɕʰ iː j u ɦ a̠ d a̠
시음	ɕʰ iː ɯ m
시인	ɕʰ i i n
시작	ɕʰ i d͡ʑ a̠ k̚
시장	ɕʰ i d͡ʑ a̠ ŋ
시장하다	ɕʰ i d͡ʑ a̠ ŋ ɦ a̠ d a̠
시조	ɕʰ i d͡ʑ o̞
시조조	ɕʰ iː d͡ʑ o̞ d͡ʑ o̞
시집가다	ɕʰ i d͡ʑ i p̚ k͈ a̠ d a̠
시차	ɕʰ i t͡ɕʰ a̠
시큰	ɕʰ i k x ɯ n
시프다	ɕʰ i pʰ ɯ d a̠
시혜	ɕʰ iː ʝ e̞
시호	ɕʰ i β o̞
식	ɕʰ i k̚
식단	ɕʰ i k̚ t͈ a̠ n
식료	ɕʰ i ŋ ɲ o
식민	ɕʰ i ŋ m i n
식민지화	ɕʰ i ŋ m i ɲ d͡ʑ i β w a̠
식사하다	ɕʰ i k s͈ a̠ ɦ a̠ d a̠
식성	ɕʰ i k s͈ ʌ̹ ŋ
식수	ɕʰ i k s͈ u
식순	ɕʰ i k s͈ u n
식인	ɕʰ i ɡ i n
식칼	ɕʰ i k̚ kʰ a̠ ɭ
신	ɕʰ i n
신강	ɕʰ i n ɡ a̠ ŋ
신경언어학	ɕʰ i n ɡ j ʌ̹ ŋ ʌ̹ n ʌ̹ ɦ a̠ k̚
신경학	ɕʰ i n ɡ j ʌ̹ ŋ ɦ a̠ k̚
신고인	ɕʰ i n ɡ o̞ i n
신군부	ɕʰ i n ɡ u n b u
신나다	ɕʰ i n n a̠ d a̠
신년사	ɕʰ i n ɲ ʌ̹ n sʰ a̠
신놀린	ɕʰ i n n o̞ ʎ ʎ i n
신농	ɕʰ i n n o̞ ŋ
신동	ɕʰ i n d o̞ ŋ
신디케이트	ɕʰ i n d i kʰ e̞ i tʰ ɯ
신뢰하다	ɕʰ iː ɭ ɭ w e̞ ɦ a̠ d a̠
신명기	ɕʰ i n m j ʌ̹ ŋ ɡ i
신물	ɕʰ i n m u ɭ
신박하다	ɕʰ i n b a̠ kʰ a̠ d a̠
신변잡기	ɕʰ i n b j ʌ̹ ɲ d͡ʑ a̠ p̚ k͈ i
신병	ɕʰ i n b j ʌ̹ ŋ
신부모	ɕʰ i n b u m o̞
신비하다	ɕʰ i n b i ɦ a̠ d a̠
신빙성	ɕʰ iː n b i ŋ s͈ ʌ̹ ŋ
신성하다	ɕʰ i n sʰ ʌ̹ ŋ ɦ a̠ d a̠
신자식	ɕʰ i ɲ d͡ʑ a̠ ɕʰ i k̚
신장	ɕʰ i ɲ d͡ʑ a̠ ŋ
신점	ɕʰ i ɲ d͡ʑ ʌ̹ m
신젖	ɕʰ i ɲ d͡ʑ ʌ̹ t̚
신천옹	ɕʰ iː ɲ t͡ɕʰ ʌ̹ n o̞ ŋ
신청하다	ɕʰ i ɲ t͡ɕʰ ʌ̹ ŋ ɦ a̠ d a̠
신포	ɕʰ i n pʰ o̞
신하	ɕʰ i n ɦ a̠
싣다	ɕʰ iː t̚ t͈ a̠
실	ɕʰ i ɭ
실고기	ɕʰ iː ɭ ɡ o̞ ɡ i
실눈	ɕʰ iː ɭ ɭ u n
실뜨기	ɕʰ i ɭ t͈ ɯ ɡ i
실례하다	ɕʰ i ʎ ʎ e̞ ɦ a̠ d a̠
실리다	ɕʰ i ʎ ʎ i d a̠
실리콘	ɕ͈ i ʎ ʎ i kʰ o̞ n
실솔	ɕʰ i ɭ s͈ o̞ ɭ
실수하다	ɕʰ i ɭ s͈ u ɦ a̠ d a̠
실시되다	ɕʰ i ɭ ɕʰ i d w e̞ d a̠
실시하다	ɕʰ i ɭ ɕʰ i ɦ a̠ d a̠
실연	ɕʰ i ɾ j ʌ̹ n
실적	ɕʰ i ʎ t͡ɕ͈ ʌ̹ k̚
실종되다	ɕʰ i ʎ d͡ʑ o̞ ŋ d w e̞ d a̠
실천하다	ɕʰ i ʎ t͡ɕʰ ʌ̹ n ɦ a̠ d a̠
실파	ɕʰ iː ɭ pʰ a̠
실험실	ɕʰ i ɾ ɦ ʌ̹ m ɕʰ i ɭ
실험하다	ɕʰ i ɾ ɦ ʌ̹ m ɦ a̠ d a̠
실현하다	ɕʰ i ɾ ʝ ʌ̹ n ɦ a̠ d a̠
심	ɕʰ i m
심려	ɕʰ i m ɲ ʌ̹
심리학자	ɕʰ i m n i ɦ a̠ k̚ t͡ɕ͈ a̠
심문	ɕʰ i m m u n
심문하다	ɕʰ i m m u n ɦ a̠ d a̠
심박수	ɕʰ i m b a̠ k s͈ u
심방	ɕʰ i m b a̠ ŋ
심벌즈	ɕ͈ i m b ʌ̹ ʎ d͡ʑ ɯ
심부름하다	ɕʰ i m b u ɾ ɯ m ɦ a̠ d a̠
심산유곡	ɕʰ iː m sʰ a̠ n ɲ u ɡ o̞ k̚
심야	ɕʰ iː m j a̠
심인성	ɕʰ i m i n s͈ ʌ̹ ŋ
심페로폴	ɕʰ i m pʰ e̞ ɾ o̞ pʰ o̞ ɭ
심호흡	ɕʰ iː m β o̞ ɣ ɯ p̚
심혼	ɕʰ i m β o̞ n
심화	ɕʰ i m β w a̠
십	ɕʰ i p̚
십구	ɕʰ i p̚ k͈ u
십날	ɕʰ i m n a̠ ɭ
십사	ɕʰ i p s͈ a̠
십육	ɕʰ i m ɲ u k̚
십일	ɕʰ i b i ɭ
십자고상	ɕʰ i p̚ t͡ɕ͈ a̠ ɡ o̞ sʰ a̠ ŋ
십진법	ɕʰ i p̚ t͡ɕ͈ i n p͈ ʌ̹ p̚
십팔	ɕʰ i p̚ pʰ a̠ ɭ
싯	ɕʰ i t̚
싱겁다	ɕʰ i ŋ ɡ ʌ̹ p̚ t͈ a̠
싱글	ɕʰ i ŋ ɡ ɯ ɭ
싱싱하다	ɕʰ i ŋ ɕʰ i ŋ ɦ a̠ d a̠
싱어	ɕʰ i ŋ ʌ̹
싱어송라이터	ɕ͈ i ŋ ʌ̹ s͈ o̞ ŋ n a̠ i tʰ ʌ̹
싸	s͈ a̠
싸게	s͈ a̠ ɡ e̞
싸불	s͈ a̠ b u ɭ
싸스	s͈ a̠ sʰ ɯ
싸울아비	s͈ a̠ u ɾ a̠ b i
싸움터	s͈ a̠ u m tʰ ʌ̹
싸이다	s͈ a̠ i d a̠
싸인펜	s͈ a̠ i n pʰ e̞ n
싹	s͈ a̠ k̚
싼룬처	s͈ a̠ ɭ ɭ u ɲ t͡ɕʰ ʌ̹
쌀	s͈ a̠ ɭ
쌈	s͈ a̠ m
쌍	s͈ a̠ ŋ
쌍곡선	s͈ a̠ ŋ ɡ o̞ k s͈ ʌ̹ n
쌍기역	s͈ a̠ ŋ ɡ i j ʌ̹ k̚
쌍동이	s͈ a̠ ŋ d o̞ ŋ i
쌍반점	s͈ a̠ ŋ b a̠ ɲ d͡ʑ ʌ̹ m
쌍발	s͈ a̠ ŋ b a̠ ɭ
쌍봉낙타	s͈ a̠ ŋ b o̞ ŋ n a̠ k̚ tʰ a̠
쌍비읍	s͈ a̠ ŋ b i ɯ p̚
쌍살벌	s͈ a̠ ŋ sʰ a̠ ɭ b ʌ̹ ɭ
쌍절곤	s͈ a̠ ŋ d͡ʑ ʌ̹ ɭ ɡ o̞ n
쌍점	s͈ a̠ ŋ d͡ʑ ʌ̹ m
쌍정	s͈ a̠ ŋ d͡ʑ ʌ̹ ŋ
쌍지읒	s͈ a̠ ŋ d͡ʑ i ɯ t̚
쌓이다	s͈ a̠ i d a̠
쌤	s͈ ɛː m
쌤통	s͈ ɛː m tʰ o̞ ŋ
써레	s͈ ʌ̹ ɾ e̞
썩	s͈ ʌ̹ k̚
썩다	s͈ ʌ̹ k̚ t͈ a̠
썩음썩음하다	s͈ ʌ̹ ɡ ɯ m s͈ ʌ̹ ɡ ɯ m ɦ a̠ d a̠
썬글라스	s͈ ʌ̹ n ɡ ɯ ɭ ɭ a̠ sʰ ɯ
썰	s͈ ʌ̹ ɭ
썰썰	s͈ ʌ̹ ɭ s͈ ʌ̹ ɭ
썸	s͈ ʌ̹ m
썸팅	s͈ ʌ̹ m tʰ i ŋ
쎄다	s͈ e̞ː d a̠
쏘련	s͈ o̞ ɾ j ʌ̹ n
쏘비에트	s͈ o̞ b i e̞ tʰ ɯ
쏘아보다	s͈ o̞ a̠ b o̞ d a̠
쏙	s͈ o̞ k̚
쏟다	s͈ o̞ t̚ t͈ a̠
쏠다	s͈ o̞ː ɭ d a̠
쏠리다	s͈ o̞ ʎ ʎ i d a̠
쏼라쏼라	s͈ w a̠ ɭ ɭ a̠ s͈ w a̠ ɭ ɭ a̠
쑥	s͈ u k̚
쒀이러우	s͈ w ʌ̹ i ɾ ʌ̹ u
쓰나미	s͈ ɯ n a̠ m i
쓰똘	s͈ ɯ t͈ o̞ ɭ
쓰레받기	s͈ ɯ ɾ e̞ b a̠ t̚ k͈ i
쓰르라미	s͈ ɯ ɾ ɯ ɾ a̠ m i
쓰봉	s͈ ɯ b o̞ ŋ
쓸다	s͈ ɯ ɭ d a̠
쓸데없다	s͈ ɯ ɭ t͈ e̞ ʌ̹ p̚ t͈ a̠
쓸어일어나다	s͈ ɯ ɾ ʌ̹ i ɾ ʌ̹ n a̠ d a̠
씨	ɕ͈ i
씨뚜아찌야	ɕ͈ i t͈ u a̠ t͡ɕ͈ i j a̠
씨발	ɕ͈ i b a̠ ɭ
씨수	ɕ͈ i sʰ u
씨엄히	ɕ͈ iː ʌ̹ m ʝ i
씨족	ɕ͈ i d͡ʑ o̞ k̚
씨팔	ɕ͈ i pʰ a̠ ɭ
씩	ɕ͈ i k̚
씹	ɕ͈ i p̚
씹두덩	ɕ͈ i p̚ t͈ u d ʌ̹ ŋ
씹하다	ɕ͈ i pʰ a̠ d a̠
씻은듯이	ɕ͈ i sʰ ɯ n d ɯ ɕʰ i
씽글	ɕ͈ i ŋ ɡ ɯ ɭ
씽글씽글	ɕ͈ i ŋ ɡ ɯ ɭ ɕ͈ i ŋ ɡ ɯ ɭ
아	a̠
아가	a̠ ɡ a̠
아교	a̠ ɡ j o
아국	a̠ː ɡ u k̚
아귀	a̠ ɡ ɥ i
아기미	a̠ ɡ i m i
아기집	a̠ ɡ i d͡ʑ i p̚
아끼다	a̠ k͈ i d a̠
아나테마	a̠ n a̠ tʰ e̞ m a̠
아뇰로티	a̠ ɲ o ɭ ɭ o̞ tʰ i
아니꼽다	a̠ n i k͈ o̞ p̚ t͈ a̠
아니라	a̠ n i ɾ a̠
아다	a̠ d a̠
아도	a̠ d o̞
아라비아인	a̠ ɾ a̠ b i a̠ i n
아라사	a̠ ɾ a̠ sʰ a̠
아락	a̠ ɾ a̠ k̚
아람어	a̠ ɾ a̠ m ʌ̹
아레스	a̠ ɾ e̞ sʰ ɯ
아령	a̠ː ɾ j ʌ̹ ŋ
아뢰다	a̠ ɾ w e̞ d a̠
아뢰야식	a̠ ɾ w e̞ j a̠ ɕʰ i k̚
아르곤	a̠ ɾ ɯ ɡ o̞ n
아르마딜로	a̠ ɾ ɯ m a̠ d i ɭ ɭ o̞
아리땁다	a̠ ɾ i t͈ a̠ p̚ t͈ a̠
아리조나	a̠ ɾ i d͡ʑ o̞ n a̠
아말감	a̠ m a̠ ɭ ɡ a̠ m
아메리슘	a̠ m e̞ ɾ i ɕʰ u m
아메리카너구리	a̠ m e̞ ɾ i kʰ a̠ n ʌ̹ ɡ u ɾ i
아메리카원앙	a̠ m e̞ ɾ i kʰ a̠ w ʌ̹ n a̠ ŋ
아메리카홍머리오리	a̠ m e̞ ɾ i kʰ a̠ β o̞ ŋ m ʌ̹ ɾ i o̞ ɾ i
아무것	a̠ː m u ɡ ʌ̹ t̚
아무렇다	a̠ː m u ɾ ʌ̹ tʰ a̠
아물다	a̠ m u ɭ d a̠
아물리다	a̠ m u ʎ ʎ i d a̠
아미노	a̠ m i n o̞
아미딘	a̠ m i d i n
아바이	a̠ b a̠ i
아바지	a̠ b a̠ d͡ʑ i
아방궁	a̠ b a̠ ŋ ɡ u ŋ
아베크	a̠ b e̞ k x ɯ
아부지	a̠ b u d͡ʑ i
아비달마	a̠ b i d a̠ ɭ m a̠
아비장	a̠ b i d͡ʑ a̠ ŋ
아산	a̠ sʰ a̠ n
아세나프텐	a̠ sʰ e̞ n a̠ pʰ ɯ tʰ e̞ n
아스마라	a̠ sʰ ɯ m a̠ ɾ a̠
아스콜빅산	a̠ sʰ ɯ kʰ o̞ ɭ b i k s͈ a̠ n
아스테카	a̠ sʰ ɯ tʰ e̞ kʰ a̠
아스팔트	a̠ sʰ ɯ pʰ a̠ ɭ tʰ ɯ
아스하바트	a̠ sʰ ɯ ɦ a̠ b a̠ tʰ ɯ
아실기	a̠ ɕʰ i ɭ ɡ i
아씨	a̠ː ɕ͈ i
아우르다	a̠ u ɾ ɯ d a̠
아유르베다	a̠ j u ɾ ɯ b e̞ d a̠
아으	a̠ ɯ
아이누어	a̠ i n u ʌ̹
아이다호	a̠ i d a̠ β o̞
아이띠	a̠ i t͈ i
아이스케이크	a̠ i sʰ ɯ kʰ e̞ i k x ɯ
아이슬란드어	a̠ i sʰ ɯ ɭ ɭ a̠ n d ɯ ʌ̹
아이오딘	a̠ i o̞ d i n
아이오와	a̠ i o̞ w a̠
아인슈타이늄	a̠ i n ɕʰ u tʰ a̠ i ɲ u m
아전인수	a̠ː d͡ʑ ʌ̹ n i n sʰ u
아제르바이잔어	a̠ d͡ʑ e̞ ɾ ɯ b a̠ i d͡ʑ a̠ n ʌ̹
아즈텍	a̠ d͡ʑ ɯ tʰ e̞ k̚
아집	a̠ː d͡ʑ i p̚
아첨	a̠ t͡ɕʰ ʌ̹ m
아첨꾼	a̠ t͡ɕʰ ʌ̹ m k͈ u n
아칙	a̠ t͡ɕʰ i k̚
아침놀	a̠ t͡ɕʰ i m n o̞ ɭ
아카이브	a̠ kʰ a̠ i b ɯ
아칸소	a̠ kʰ a̠ n sʰ o̞
아콰리움	a̠ kʰ w a̠ ɾ i u m
아테나	a̠ tʰ e̞ n a̠
아테지	a̠ tʰ e̞ d͡ʑ i
아틀란티스	a̠ tʰ ɯ ɭ ɭ a̠ n tʰ i sʰ ɯ
아포스트로피	a̠ pʰ o̞ sʰ ɯ tʰ ɯ ɾ o̞ pʰ i
아프리칸스어	a̠ pʰ ɯ ɾ i kʰ a̠ n sʰ ɯ ʌ̹
아피아	a̠ pʰ i a̠
악	a̠ k̚
악경	a̠ k̚ k͈ j ʌ̹ ŋ
악귀	a̠ k̚ k͈ ɥ i
악랄	a̠ ŋ n a̠ ɭ
악랄하다	a̠ ŋ n a̠ ɾ ɦ a̠ d a̠
악력계	a̠ ŋ ɲ ʌ̹ k̚ k͈ j e̞
악령	a̠ ŋ ɲ ʌ̹ ŋ
악보	a̠ k̚ p͈ o̞
악성비루스	a̠ k s͈ ʌ̹ ŋ b i ɾ u sʰ ɯ
악센트	a̠ k s͈ e̞ n tʰ ɯ
악수하다	a̠ k s͈ u ɦ a̠ d a̠
악역	a̠ ɡ j ʌ̹ k̚
악티늄	a̠ k̚ tʰ i ɲ u m
악하다	a̠ kʰ a̠ d a̠
악화	a̠ kʰ w a̠
악화되다	a̠ kʰ w a̠ d w e̞ d a̠
악화하다	a̠ kʰ w a̠ ɦ a̠ d a̠
안	a̠ n
안가	a̠ n ɡ a̠
안기다	a̠ː n ɡ i d a̠
안남	a̠ n n a̠ m
안녕하다	a̠ n ɲ ʌ̹ ŋ ɦ a̠ d a̠
안도라라베야	a̠ n d o̞ ɾ a̠ ɾ a̠ b e̞ j a̠
안뜰	a̠ n t͈ ɯ ɭ
안락	a̠ ɭ ɭ a̠ k̚
안마당	a̠ n m a̠ d a̠ ŋ
안면	a̠ n m j ʌ̹ n
안목	a̠ n m o̞ k̚
안사람	a̠ n s͈ a̠ ɾ a̠ m
안식일	a̠ n ɕʰ i ɡ i ɭ
안와	a̠ː n w a̠
안장	a̠ː ɲ d͡ʑ a̠ ŋ
안전가옥	a̠ ɲ d͡ʑ ʌ̹ n ɡ a̠ o̞ k̚
안절부절하다	a̠ ɲ d͡ʑ ʌ̹ ɭ b u d͡ʑ ʌ̹ ɾ ɦ a̠ d a̠
안직	a̠ ɲ d͡ʑ i k̚
안초비	a̠ ɲ t͡ɕʰ o̞ b i
안트라센	a̠ n tʰ ɯ ɾ a̠ sʰ e̞ n
안티모니	a̠ n tʰ i m o̞ n i
앉다	a̠ n t͈ a̠
앉은자리	a̠ ɲ d͡ʑ ɯ ɲ d͡ʑ a̠ ɾ i
알데하이드	a̠ ɭ d e̞ ɦ a̠ i d ɯ
알라바마	a̠ ɭ ɭ a̠ b a̠ m a̠
알라신	a̠ ɭ ɭ a̠ ɕʰ i n
알락도요	a̠ ɭ ɭ a̠ k̚ t͈ o̞ j o
알락오리	a̠ ɭ ɭ a̠ ɡ o̞ ɾ i
알람	a̠ ɭ ɭ a̠ m
알레고리	a̠ ɭ ɭ e̞ ɡ o̞ ɾ i
알레르기성	a̠ ɭ ɭ e̞ ɾ ɯ ɡ i s͈ ʌ̹ ŋ
알렉산더	a̠ ɭ ɭ e̞ k s͈ a̠ n d ʌ̹
알리바바	a̠ ʎ ʎ i b a̠ b a̠
알릴기	a̠ ʎ ʎ i ɭ ɡ i
알못	a̠ː ɭ m o̞ t̚
알버타	a̠ ɭ b ʌ̹ tʰ a̠
알아차리다	a̠ ɾ a̠ t͡ɕʰ a̠ ɾ i d a̠
알카인	a̠ ɭ kʰ a̠ i n
앎	a̠ː m
앓아눕다	a̠ ɾ a̠ n u p̚ t͈ a̠
암	a̠ m
암기하다	a̠ː m ɡ i ɦ a̠ d a̠
암묵	a̠ m m u k̚
암살자	a̠ː m sʰ a̠ ʎ t͡ɕ͈ a̠
암순응	a̠ː m sʰ u n ɯ ŋ
암시하다	a̠ː m ɕʰ i ɦ a̠ d a̠
암유	a̠ː m j u
